model,dataset,prior_type,epoch,channel_type,channel_spec,norm_type,loss_type,lhs,rhs,empirical,channel_term,kl_term,gap,relative_gap,dimension,lipschitz,kl_final
cnn-9,cifar10,rand,10,rayleigh-zf,SNR=10.0dB,spec,ce,0.20961737632751465,1.1334709205403517,0.263579727432797,0.03487472932019379,0.14014682974225237,0.923853544212837,4.40733282897965,8192.0,0.07020870596170425,31.337783813476562
cnn-9,cifar10,rand,10,rayleigh-zf,SNR=10.0dB,spec,01,0.8965,0.45733452491314514,0.9397161230600035,0.03487472932019379,0.14014682974225237,-0.43916547508685483,-0.4898666760589569,8192.0,0.07020870596170425,31.337783813476562
cnn-9,cifar10,rand,10,bec,outage=0.1,frob,ce,0.20010924339294434,1.1421233532113377,0.263579727432797,0.04351871714733184,0.14014682974225237,0.9420141098183934,4.707499233149407,8192.0,0.0015182452043518424,31.337783813476562
cnn-9,cifar10,rand,10,bec,outage=0.1,frob,01,0.8925,0.4659785127402832,0.9397245679038516,0.04351871714733184,0.14014682974225237,-0.4265214872597168,-0.477895223820411,8192.0,0.0015182452043518424,31.337783813476562
cnn-9,cifar10,rand,10,bec,outage=0.5,frob,ce,0.20006611347198486,1.176865079380336,0.263579727432797,0.07826044331633007,0.14014682974225237,0.976798965908351,4.882380873786163,8192.0,0.0012209281558170915,31.337783813476562
cnn-9,cifar10,rand,10,bec,outage=0.5,frob,01,0.8928,0.5007202389092814,0.9397245679038516,0.07826044331633007,0.14014682974225237,-0.3920797610907186,-0.4391574384976687,8192.0,0.0012209281558170915,31.337783813476562
cnn-9,cifar10,rand,10,rayleigh-zf,SNR=0.0dB,frob,ce,0.2518424987792969,1.1088813296717437,0.263579727432797,0.0102851384515858,0.14014682974225237,0.8570388308924468,3.4030746797962643,8192.0,0.00654772249981761,31.337783813476562
cnn-9,cifar10,rand,10,rayleigh-zf,SNR=0.0dB,frob,01,0.8966,0.4327449340445371,0.9397161230600035,0.0102851384515858,0.14014682974225237,-0.46385506595546283,-0.5173489470839425,8192.0,0.00654772249981761,31.337783813476562
cnn-9,cifar10,rand,10,bec,outage=0.1,spec,ce,0.20010924339294434,1.1173440811990032,0.263579727432797,0.018739445134997368,0.14014682974225237,0.9172348378060589,4.583670510436799,8192.0,0.018739445134997368,31.337783813476562
cnn-9,cifar10,rand,10,bec,outage=0.1,spec,01,0.8925,0.4411992407279487,0.9397245679038516,0.018739445134997368,0.14014682974225237,-0.45130075927205127,-0.5056591140303096,8192.0,0.018739445134997368,31.337783813476562
cnn-9,cifar10,rand,10,bec,outage=0.5,spec,ce,0.20006611347198486,1.115807415714694,0.263579727432797,0.01720277965068817,0.14014682974225237,0.9157413022427091,4.577193440462069,8192.0,0.01720277965068817,31.337783813476562
cnn-9,cifar10,rand,10,bec,outage=0.5,spec,01,0.8928,0.4396625752436395,0.9397245679038516,0.01720277965068817,0.14014682974225237,-0.45313742475636054,-0.5075463986966404,8192.0,0.01720277965068817,31.337783813476562
cnn-9,cifar10,rand,10,rayleigh-zf,SNR=0.0dB,spec,ce,0.2518424987792969,1.212747571911928,0.263579727432797,0.11415138069177012,0.14014682974225237,0.9609050731326312,3.8155000756036968,8192.0,0.07267102599143982,31.337783813476562
cnn-9,cifar10,rand,10,rayleigh-zf,SNR=0.0dB,spec,01,0.8966,0.5366111762847214,0.9397161230600035,0.11415138069177012,0.14014682974225237,-0.3599888237152785,-0.4015043762160144,8192.0,0.07267102599143982,31.337783813476562
cnn-9,cifar10,rand,10,rayleigh-zf,SNR=10.0dB,frob,ce,0.20961737632751465,1.1018843429198941,0.263579727432797,0.0032881516997362906,0.14014682974225237,0.8922669665923795,4.256646000559923,8192.0,0.006619603373110294,31.337783813476562
