model,dataset,prior,epoch,channel_type,channel_spec,norm,kl_penalty,vanilla_loss,vanilla_error,vanilla_bound_ce_lhs,vanilla_bound_ce_rhs,vanilla_bound_01_lhs,vanilla_bound_01_rhs,vanilla_bound_ce_valid,vanilla_bound_01_valid,channel_loss,channel_error,channel_bound_ce_lhs,channel_bound_ce_rhs,channel_bound_01_lhs,channel_bound_01_rhs,channel_bound_ce_valid,channel_bound_01_valid,loss_reduction,error_reduction,loss_reduction_pct,error_reduction_pct,goal_satisfied,bounds_valid,channel_term,kl_final,empirical_nll_loss,empirical_01_error
cnn-4,mnist,learnt,10,rayleigh-zf,0.0,frob,1.0,0.19968565702438354,0.2764,0.19968565702438354,0.13278590385455563,0.2764,0.12064037559714452,False,False,0.19177595376968384,0.2672,0.19177595376968384,0.07971475092091014,0.2672,0.06722562281103059,False,False,0.007909703254699696,0.009199999999999986,3.9610773114935567,3.328509406657014,True,False,0.024341379813316084,0.0016387403011322021,0.02577652410743785,0.038265652217317404
fcn-4,mnist,learnt,10,rayleigh-zf,0.0,frob,0.1,0.05780861377716064,0.10240000000000005,0.05780861377716064,0.19973825556862695,0.10240000000000005,0.17385646726479997,True,True,0.05793240666389465,0.09760000000000002,0.05793240666389465,0.10301092754600173,0.09760000000000002,0.07613901697656936,True,False,-0.00012379288673401018,0.0048000000000000265,-0.2141426314272199,4.687500000000024,False,False,0.025662172475346284,0.14948022365570068,0.032765565282554976,0.05963747585198735
cnn-9,cifar10,learnt,20,rayleigh-zf,10.0,frob,0.01,0.10490686893463134,0.3813,0.10490686893463134,3.69736700571122,0.3813,3.483811451327118,True,True,0.11405240297317505,0.3617,0.11405240297317505,0.9065284306901804,0.3617,0.6999332944770907,True,True,-0.009145534038543707,0.01959999999999995,-8.717764748314424,5.140309467610793,False,True,0.0032881516997362906,120.141845703125,0.14062123649049552,0.3472163727035852
cnn-4,mnist,learnt,50,rayleigh-zf,0.0,frob,0.01,0.22492551803588867,0.3228,0.22492551803588867,0.6728084642789499,0.3228,0.6605815608329099,True,True,0.19350157976150512,0.26949999999999996,0.19350157976150512,0.0912119082448436,0.26949999999999996,0.07896255057884219,False,False,0.031423938274383556,0.053300000000000014,13.97081956230934,16.51177199504338,True,False,0.024341379813316084,3.1369786262512207,0.02471348039062658,0.036962838056628006
cnn-4,mnist,learnt,50,rayleigh-zf,0.0,frob,0.1,0.22492551803588867,0.3228,0.22492551803588867,0.6728084642789499,0.3228,0.6605815608329099,True,True,0.1897125720977783,0.26259999999999994,0.1897125720977783,0.0797636494707318,0.26259999999999994,0.06732544988739128,False,False,0.03521294593811036,0.06020000000000003,15.655380610256882,18.649318463444867,True,False,0.024341379813316084,0.06515634059906006,0.02561704166643857,0.038055241249779104
fcn-4,mnist,learnt,50,rayleigh-zf,0.0,frob,1.0,0.06096288561820984,0.11240000000000006,0.06096288561820984,1.003320521104504,0.11240000000000006,0.9788154413587923,True,True,0.0615469753742218,0.10699999999999998,0.0615469753742218,0.10288308116563862,0.10699999999999998,0.07574077412538122,True,False,-0.0005840897560119643,0.005400000000000071,-0.9581071336910183,4.8042704626335135,False,False,0.025662172475346284,0.005512267351150513,0.03295506915179593,0.06009737619205331
cnn-4,mnist,learnt,20,bec,0.1,frob,0.01,0.004669194296002388,0.01319999999999999,0.004669194296002388,0.34395175634056885,0.01319999999999999,0.3317614287384778,True,True,0.0053319428116083145,0.014000000000000012,0.0053319428116083145,0.19989498057085275,0.014000000000000012,0.18766086672799287,True,True,-0.0006627485156059263,-0.0008000000000000229,-14.194065904975298,-6.060606060606239,False,True,0.13267394748723166,3.2323079109191895,0.024690048690893276,0.03692416253375317
cnn-9,cifar10,learnt,50,bec,0.1,frob,0.1,0.0720065176486969,0.26680000000000004,0.0720065176486969,7.665559470547203,0.26680000000000004,7.465125037574856,True,True,0.11208809614181518,0.29300000000000004,0.11208809614181518,0.43860792335541815,0.29300000000000004,0.2478286955427596,True,False,-0.04008157849311829,-0.0262,-55.66382016787288,-9.820089955022487,False,False,0.04351871714733184,4.105509281158447,0.16721634430767263,0.3579955721203312
cnn-4,mnist,learnt,50,bec,0.5,frob,0.1,0.005102596804499626,0.018299999999999983,0.005102596804499626,0.8398008487114689,0.018299999999999983,0.8275765956576836,True,True,0.006504811346530914,0.021100000000000008,0.006504811346530914,0.24680268825453788,0.021100000000000008,0.23435533537329806,True,True,-0.0014022145420312885,-0.0028000000000000247,-27.480410382313035,-15.30054644808758,False,True,0.19134199476717295,0.07299643754959106,0.02561430513671722,0.03806165801795708
fcn-4,mnist,learnt,20,bec,0.5,frob,0.1,0.010514961183071136,0.03320000000000001,0.010514961183071136,0.48155192017305287,0.03320000000000001,0.45605343751102356,True,True,0.010760914534330368,0.037900000000000045,0.010760914534330368,0.2184429632096047,0.037900000000000045,0.19159950361065736,True,True,-0.0002459533512592319,-0.0047000000000000375,-2.339079973544853,-14.156626506024207,False,True,0.14094263723713407,0.20917534828186035,0.03270188282907861,0.059545342428025984
