Model,Dataset,Prior Type,Prior Dist,Sigma,Channel Type,Channel Type (SNR),SNR (dB),Channel Layer,MC Samples,Norm Type,Seed,Lipschitz Constant
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.1,bec-outage0.1,,chan-layer2,mcsamples500,norm-frob,seed7,0.004370036069303751
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.1,bec-outage0.1,,chan-layer2,mcsamples500,norm-spec,seed7,0.04550382122397423
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.2,bec-outage0.2,,chan-layer2,mcsamples500,norm-frob,seed7,0.00392198096960783
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.2,bec-outage0.2,,chan-layer2,mcsamples500,norm-spec,seed7,0.0454949252307415
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.3,bec-outage0.3,,chan-layer2,mcsamples500,norm-frob,seed7,0.003472027601674199
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.3,bec-outage0.3,,chan-layer2,mcsamples500,norm-spec,seed7,0.04445211961865425
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.4,bec-outage0.4,,chan-layer2,mcsamples500,norm-frob,seed7,0.003070315346121788
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.4,bec-outage0.4,,chan-layer2,mcsamples500,norm-spec,seed7,0.04286518320441246
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.5,bec-outage0.5,,chan-layer2,mcsamples500,norm-frob,seed7,0.0028321784920990467
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.5,bec-outage0.5,,chan-layer2,mcsamples500,norm-spec,seed7,0.04290483146905899
cnn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.1,rayleigh-snr10.0dB,10.0,chan-layer2,mcsamples500,norm-frob,seed7,0.01106097549200058
cnn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.1,rayleigh-snr10.0dB,10.0,chan-layer2,mcsamples500,norm-spec,seed7,0.08446924388408661
cnn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.1778,rayleigh-snr7.5dB,7.50068243365805,chan-layer2,mcsamples500,norm-frob,seed7,0.012331003323197365
cnn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.1778,rayleigh-snr7.5dB,7.50068243365805,chan-layer2,mcsamples500,norm-spec,seed7,0.09555395692586899
cnn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.3162,rayleigh-snr5.0dB,5.0003813440380975,chan-layer2,mcsamples500,norm-frob,seed7,0.013084812089800835
cnn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.3162,rayleigh-snr5.0dB,5.0003813440380975,chan-layer2,mcsamples500,norm-spec,seed7,0.10664546489715576
cnn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.5623,rayleigh-snr2.5dB,2.500319164905971,chan-layer2,mcsamples500,norm-frob,seed7,0.014169903472065926
cnn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise0.5623,rayleigh-snr2.5dB,2.500319164905971,chan-layer2,mcsamples500,norm-spec,seed7,0.1112038865685463
cnn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise1.0,rayleigh-snr0.0dB,0.0,chan-layer2,mcsamples500,norm-frob,seed7,0.014764777384698391
cnn-4,mnist,rand,gaussian,sig0.03,rayleigh-tx1.0-noise1.0,rayleigh-snr0.0dB,0.0,chan-layer2,mcsamples500,norm-spec,seed7,0.11748018115758896
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.1,bec-outage0.1,,chan-layer4,mcsamples500,norm-frob,seed7,0.0015182452043518424
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.1,bec-outage0.1,,chan-layer2,mcsamples500,norm-frob,seed7,0.001323494827374816
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.1,bec-outage0.1,,chan-layer4,mcsamples500,norm-spec,seed7,0.018739445134997368
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.2,bec-outage0.2,,chan-layer4,mcsamples500,norm-frob,seed7,0.001446129404939711
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.2,bec-outage0.2,,chan-layer4,mcsamples500,norm-spec,seed7,0.018462425097823143
cnn-9,cifar10,rand,gaussian,sig0.03,bec-outage0.3,bec-outage0.3,,chan-layer4,mcsamples500,norm-frob,seed7,0.0013904329389333725
