Model,Dataset,Prior Type,Prior Dist,Sigma,Channel Type,Channel Type (SNR),SNR (dB),Channel Layer,MC Samples,Norm Type,Seed,Lipschitz Constant
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.1,bec-outage0.1,,chan-layer2,mcsamples2000,norm-frob,seed7,0.005350837018340826
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.1,bec-outage0.1,,chan-layer2,mcsamples2000,norm-spec,seed7,0.05532846599817276
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.2,bec-outage0.2,,chan-layer2,mcsamples2000,norm-frob,seed7,0.0046387952752411366
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.2,bec-outage0.2,,chan-layer2,mcsamples2000,norm-spec,seed7,0.05487917736172676
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.3,bec-outage0.3,,chan-layer2,mcsamples2000,norm-frob,seed7,0.003994087688624859
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.3,bec-outage0.3,,chan-layer2,mcsamples2000,norm-spec,seed7,0.052444908767938614
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.4,bec-outage0.4,,chan-layer2,mcsamples2000,norm-frob,seed7,0.003558413591235876
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.4,bec-outage0.4,,chan-layer2,mcsamples2000,norm-spec,seed7,0.05086333304643631
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.5,bec-outage0.5,,chan-layer2,mcsamples2000,norm-frob,seed7,0.0032662481535226107
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.5,bec-outage0.5,,chan-layer2,mcsamples2000,norm-spec,seed7,0.05011507868766785
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.6,bec-outage0.6,,chan-layer2,mcsamples2000,norm-frob,seed7,0.0031447941437363625
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.6,bec-outage0.6,,chan-layer2,mcsamples2000,norm-spec,seed7,0.05136360228061676
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.7,bec-outage0.7,,chan-layer2,mcsamples2000,norm-frob,seed7,0.002919439459219575
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.7,bec-outage0.7,,chan-layer2,mcsamples2000,norm-spec,seed7,0.050345152616500854
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.8,bec-outage0.8,,chan-layer2,mcsamples2000,norm-frob,seed7,0.002531683538109064
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.8,bec-outage0.8,,chan-layer2,mcsamples2000,norm-spec,seed7,0.04598374292254448
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.9,bec-outage0.9,,chan-layer2,mcsamples2000,norm-frob,seed7,0.002352675888687372
cnn-4,mnist,rand,gaussian,sig0.03,bec-outage0.9,bec-outage0.9,,chan-layer2,mcsamples2000,norm-spec,seed7,0.044799868017435074
