Model,Dataset,Epochs,Channel Type,Channel Param,Norm Type,Objective,Learning Rate,KL Penalty,Chan Penalty,Pop Loss CE (MC),Pop Err 01 (MC),Risk CE (LHS),Bound CE (RHS),Valid CE,Eff CE,Emp Loss CE,Risk 01 (LHS),Bound 01 (RHS),Valid 01,Eff 01,Emp Err 01,KL Term,Channel Term,Lipschitz,Dimension,Train Loss CE,Pop Loss CE,Pop Loss CE (Wired),Train Err 01,Pop Err 01,Pop Err 01 (Wired),Folder,File
cnn-4,mnist,5.0,bec,outage 0.1,frob,channel_grad,0.001,0.01,0.01,0.004991316702216864,0.013063,0.005354175344109535,1.1842111349105835,✓,?,0.023767271991541498,0.013499999999999956,1.172196626663208,✓,?,0.03578175561053602,21.213653564453125,1.0447239909536983,0.03441128879785538,9216.0,0.005360180512070656,0.005354175344109535,0.005091586709022522,0.012331630252100857,0.013499999999999956,0.012800000000000034,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan0.01-bec-outage0.1-frob-kl0.01_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,5.0,bec,outage 0.1,frob,channel_grad,0.001,0.01,0.1,0.0037061565089970827,0.0128344,0.0038778461515903474,2.7174735069274902,✓,?,0.020114275666598416,0.012700000000000045,2.7049238681793213,✓,?,0.03266390502922854,490.5031433105469,0.6652379576730122,0.02191171608865261,9216.0,0.0035211595240980387,0.0038778461515903474,0.00367918461561203,0.010416403361344563,0.012700000000000045,0.012800000000000034,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan0.1-bec-outage0.1-frob-kl0.01_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,5.0,bec,outage 0.1,frob,channel_grad,0.001,0.01,1.0,0.0033982903696596622,0.012332999999999998,0.003459230437874794,16.21819305419922,✓,?,0.01807883475553316,0.0131,16.20803451538086,✓,?,0.028236326369479266,3863.622314453125,0.399683231956533,0.013164831325411797,9216.0,0.002580356551334262,0.003459230437874794,0.0031513247638940813,0.00781425210084035,0.0131,0.011499999999999955,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-bec-outage0.1-frob-kl0.01_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,5.0,bec,outage 0.1,frob,channel_grad,0.001,0.1,0.01,0.005539114587008953,0.0136526,0.0058833487331867215,1.240602970123291,✓,?,0.0252447572754111,0.014399999999999968,1.2282894849777222,✓,?,0.037558274301761875,1.210630178451538,1.1810013314701326,0.03890001401305199,9216.0,0.006149471737444401,0.0058833487331867215,0.005653170496225357,0.013449277310924386,0.014399999999999968,0.013800000000000034,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan0.01-bec-outage0.1-frob-kl0.1_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,5.0,bec,outage 0.1,frob,channel_grad,0.001,0.1,0.1,0.005011996254324913,0.0132608,0.005410437658429146,1.2797186374664307,✓,?,0.023809158111695438,0.01429999999999998,1.267406940460205,✓,?,0.036120868563275885,43.39605712890625,1.0493331355767324,0.034563105553388596,9216.0,0.005382078234106302,0.005410437658429146,0.005058636516332626,0.012543462184873969,0.01429999999999998,0.012800000000000034,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan0.1-bec-outage0.1-frob-kl0.1_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,5.0,bec,outage 0.1,frob,channel_grad,0.001,0.1,1.0,0.004122747574001551,0.014364599999999998,0.004344135895371437,4.472957611083984,✓,?,0.021506221778130587,0.015700000000000047,4.457889080047607,✓,?,0.03657489151882397,898.3060913085938,0.7519626108855407,0.024768266826868057,9216.0,0.004201258532702923,0.004344135895371437,0.004001699760556221,0.012828235294117668,0.015700000000000047,0.01429999999999998,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-bec-outage0.1-frob-kl0.1_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,5.0,bec,outage 0.1,frob,channel_grad,0.001,1.0,0.01,0.005706996191293001,0.013872200000000003,0.0060288097709417345,1.282586932182312,✓,?,0.025700031418804465,0.01429999999999998,1.2701160907745361,✓,?,0.0381709705226331,0.07023191452026367,1.2270281978761715,0.04041605442762375,9216.0,0.006397250108420849,0.0060288097709417345,0.005823427066206932,0.01383872268907565,0.01429999999999998,0.013700000000000045,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan0.01-bec-outage0.1-frob-kl1.0_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,5.0,bec,outage 0.1,frob,channel_grad,0.001,1.0,0.1,0.005547053646296263,0.013642199999999997,0.00590449869632721,1.267166256904602,✓,?,0.02534077762792422,0.014100000000000001,1.2548660039901733,✓,?,0.03764094657489768,4.845702648162842,1.1926417599758108,0.039283428341150284,9216.0,0.006201472599059343,0.00590449869632721,0.005650205537676811,0.013501714285714304,0.014100000000000001,0.013700000000000045,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan0.1-bec-outage0.1-frob-kl1.0_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,5.0,bec,outage 0.1,frob,channel_grad,0.001,1.0,1.0,0.005277015268802643,0.013653399999999996,0.005603399500250817,2.717607021331787,✓,?,0.02483134775861575,0.013800000000000034,2.7047455310821533,✓,?,0.03769277221288937,372.9044494628906,1.1404371717431736,0.037563905119895935,9216.0,0.005926115438342094,0.005603399500250817,0.005246222019195557,0.013534588235294142,0.013800000000000034,0.012599999999999945,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-bec-outage0.1-frob-kl1.0_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,bec,outage 0.1,frob,vanilla,0.001,1.0,0.0,0.005090740974992514,0.013148199999999997,0.004942094907164574,0.24113053061518222,✓,-,0.023808342436290597,0.013499999999999956,0.22896230269357493,✓,-,0.035976570357897884,13.565025329589844,0.13267394748723166,0.004370036069303751,9216.0,0.005381730385124683,0.004942094907164574,0.005039001628756523,0.012453042016806738,0.013499999999999956,0.012299999999999978,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-vanilla_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
