Model,Dataset,Epochs,Channel Type,Channel Param,Norm Type,Objective,Learning Rate,KL Penalty,Chan Penalty,Pop Loss CE (MC),Pop Err 01 (MC),Risk CE (LHS),Bound CE (RHS),Valid CE,Eff CE,Emp Loss CE,Risk 01 (LHS),Bound 01 (RHS),Valid 01,Eff 01,Emp Err 01,KL Term,Channel Term,Lipschitz,Dimension,Train Loss CE,Pop Loss CE,Pop Loss CE (Wired),Train Err 01,Pop Err 01,Pop Err 01 (Wired),Folder,File
cnn-4,mnist,10.0,rayleigh_zf,-10.0 dB,frob,vanilla,0.001,1.0,0.0,0.5247582793235779,0.6315707999999999,0.527199649810791,0.21120317084359566,✗,-,0.02276709188818443,0.6333,0.19900000083468689,✗,-,0.03497026189709322,38.979190826416016,0.0,0.0,9216.0,0.004839727189391851,0.527199649810791,0.0048133421689271925,0.011827159663865565,0.6333,0.011199999999999988,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-vanilla_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.001,1.0,0.6930301189422607,0.8012506,0.6987736225128174,8.77028751373291,✓,✗,0.017996054028643592,0.804,8.760555267333984,✓,✗,0.02772865873662162,2119.94970703125,0.07079917072701154,0.014253065921366215,9216.0,0.002543616108596325,0.6987736225128174,0.0031682711094617845,0.007525915966386568,0.804,0.011499999999999955,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.001_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.005,1.0,0.675071656703949,0.7888334000000001,0.6807676792144776,5.43834924697876,✓,✗,0.018517636273838838,0.7884,5.427352428436279,✓,✗,0.029514639407167087,1300.94287109375,0.08065723942178203,0.016237661242485046,9216.0,0.00277732964605093,0.6807676792144776,0.0032383788377046583,0.00854984873949581,0.7884,0.011800000000000033,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.005_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.01,1.0,0.656200110912323,0.7731614,0.6627515316009521,3.6882290840148926,✓,✗,0.019097187973958304,0.7746999999999999,3.6761841773986816,✓,✗,0.031142197800543517,869.1972045898438,0.09150312597480854,0.018421120941638947,9216.0,0.0030425589065998793,0.6627515316009521,0.003344191238284111,0.009505210084033627,0.7746999999999999,0.011900000000000022,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.01_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.05,1.0,0.5779430866241455,0.6852156,0.586087703704834,1.0612865686416626,✓,✗,0.02210457139290218,0.6951,1.0487430095672607,✓,✗,0.03464814479691143,212.1465301513672,0.14345279046233683,0.02887946367263794,9216.0,0.0045017399825155735,0.586087703704834,0.004260813817381859,0.011628100840336157,0.6951,0.012399999999999967,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.05_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.1,1.0,0.5435338020324707,0.647242,0.5527599334716797,0.6790565252304077,✓,✗,0.023623408221607252,0.6562,0.6666182279586792,✓,✗,0.03606170381051038,112.5080795288086,0.16658148374933568,0.033535659313201904,9216.0,0.005284522660076618,0.5527599334716797,0.004736572131514549,0.012506487394958007,0.6562,0.012800000000000034,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.1_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.5,1.0,0.5134902000427246,0.6120988000000002,0.521504259109497,0.37653473019599915,✗,✓,0.02508822170800525,0.6206,0.36415615677833557,✗,✓,0.037466796277627286,32.0086669921875,0.19129208085733743,0.03851031884551048,9216.0,0.0060647702775895596,0.521504259109497,0.005387302860617638,0.013391193277310937,0.6206,0.013700000000000045,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.5_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,1.0,1.0,0.5130962133407593,0.6117336,0.5201509952545166,0.32126203179359436,✗,✓,0.025596808950480446,0.6181,0.30872055888175964,✗,✓,0.03813828680149267,16.236520767211914,0.19973740102142684,0.040210504084825516,9216.0,0.006340785883367062,0.5201509952545166,0.0056038923561573025,0.013817747899159669,0.6181,0.013800000000000034,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl1.0_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,20.0,rayleigh_zf,-10.0 dB,frob,vanilla,0.001,1.0,0.0,0.5355058908462524,0.6504122,0.5385932445526123,0.4923997334469475,✗,-,0.02128399821798051,0.6548,0.4801629882482854,✗,-,0.03352074341664256,108.21305847167969,0.0,0.0,9216.0,0.00409085163846612,0.5385932445526123,0.004368727654218673,0.010936403361344554,0.6548,0.011499999999999955,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch20_bs250_lr0.001_mon0.95_dp0.2_objective-vanilla_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,20.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.001,1.0,0.7061975002288818,0.8062370000000003,0.7116595268249511,13.202006340026855,✓,✗,0.017003391690770142,0.8137,13.194306373596191,✓,✗,0.024704010892671296,3208.781494140625,0.06040599026998706,0.012160743586719036,9216.0,0.002112897578626871,0.7116595268249511,0.0030688604339957236,0.005857680672268918,0.8137,0.011800000000000033,cnn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch20_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.001_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
