Model,Dataset,Epochs,Channel Type,Channel Param,Norm Type,Objective,Learning Rate,KL Penalty,Chan Penalty,Pop Loss CE (MC),Pop Err 01 (MC),Risk CE (LHS),Bound CE (RHS),Valid CE,Eff CE,Emp Loss CE,Risk 01 (LHS),Bound 01 (RHS),Valid 01,Eff 01,Emp Err 01,KL Term,Channel Term,Lipschitz,Dimension,Train Loss CE,Pop Loss CE,Pop Loss CE (Wired),Train Err 01,Pop Err 01,Pop Err 01 (Wired),Folder,File
cnn-9,cifar10,5.0,bec,outage 0.1,frob,vanilla,0.001,1.0,0.0,0.09038608521223068,0.2896430000000001,0.09045379161834717,1.1973819922917164,✓,-,0.13587178551409745,0.2964,0.9873814244528123,✓,-,0.3458723533530013,176.48338317871094,0.04351871714733184,0.0015182452043518424,8192.0,0.08872807025909424,0.09045379161834717,0.09326362013816833,0.27784832323232356,0.2964,0.28459999999999996,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-vanilla_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,5.0,bec,outage 0.1,frob,channel_grad,0.001,0.01,0.01,0.08348794281482697,0.289384,0.0833075225353241,7.565353870391846,✓,✓,0.12715394911468453,0.2873,7.347198009490967,✓,✓,0.3453097743630398,355.6639709472656,5.610732986565511,0.1957426369190216,8192.0,0.08145977556705475,0.0833075225353241,0.08515685796737671,0.27731854545454576,0.2873,0.28990000000000005,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan0.01-bec-outage0.1-frob-kl0.01_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,5.0,bec,outage 0.1,frob,channel_grad,0.001,0.01,0.1,0.07238101959228516,0.28344660000000005,0.07216817140579224,14.927056312561035,✓,✓,0.11117002105632369,0.28180000000000005,14.704448699951172,✓,✓,0.33377808477204285,2496.080078125,3.411735213363004,0.1190258115530014,8192.0,0.06833427399396896,0.07216817140579224,0.0710513710975647,0.26643644444444453,0.28180000000000005,0.27849999999999997,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan0.1-bec-outage0.1-frob-kl0.01_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,5.0,bec,outage 0.1,frob,channel_grad,0.001,0.01,1.0,0.0893581435084343,0.3277928000000001,0.08934980630874634,117.19546508789062,✓,✓,0.1325514102644866,0.3308,116.94611358642578,✓,✗,0.3819005354263153,25558.298828125,2.494633351937934,0.08703071624040604,8192.0,0.08595092594623566,0.08934980630874634,0.08813627362251282,0.31213648484848544,0.3308,0.3238,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-bec-outage0.1-frob-kl0.01_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,5.0,bec,outage 0.1,frob,channel_grad,0.001,0.1,0.01,0.10711882263422012,0.29558799999999996,0.10689594745635986,8.847675323486328,✓,✗,0.1584777502932857,0.29690000000000005,8.650806427001953,✓,✗,0.355346871588453,23.514175415039062,8.368437106407248,0.29195114970207214,8192.0,0.10788573324680328,0.10689594745635986,0.1114434003829956,0.2868244040404045,0.29690000000000005,0.29490000000000005,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan0.01-bec-outage0.1-frob-kl0.1_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,5.0,bec,outage 0.1,frob,channel_grad,0.001,0.1,0.1,0.08461493998765945,0.29199959999999997,0.08458688855171204,7.7829766273498535,✓,✓,0.12920179047431368,0.28959999999999997,7.563117027282715,✓,✗,0.3490612517383424,385.55389404296875,5.690932834882994,0.1985405832529068,8192.0,0.08316027373075485,0.08458688855171204,0.0864407777786255,0.2808661010101015,0.28959999999999997,0.2903,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan0.1-bec-outage0.1-frob-kl0.1_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,5.0,bec,outage 0.1,frob,channel_grad,0.001,0.1,1.0,0.07305919378995895,0.285165,0.07305247783660888,19.9013729095459,✓,✓,0.11244602663821439,0.2833,19.676010131835938,✓,✓,0.33780864480404726,3625.19091796875,3.332485503049442,0.11626101285219193,8192.0,0.06937222182750702,0.07305247783660888,0.07187829613685608,0.27023684848484875,0.2833,0.27949999999999997,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-bec-outage0.1-frob-kl0.1_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,5.0,bec,outage 0.1,frob,channel_grad,0.001,1.0,0.01,0.11761035025119781,0.29952819999999997,0.11700886487960815,9.79050064086914,✓,✗,0.1718058185647345,0.2996,9.601749420166016,✓,✗,0.36055683630694635,0.7928059101104736,9.407665550936896,0.3282068967819214,8192.0,0.11936456710100174,0.11700886487960815,0.12243937253952027,0.2917751919191923,0.2996,0.29479999999999995,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan0.01-bec-outage0.1-frob-kl1.0_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,5.0,bec,outage 0.1,frob,channel_grad,0.001,1.0,0.1,0.11056862026453018,0.29759640000000004,0.11032766103744507,9.2008056640625,✓,✗,0.1628950325270575,0.29710000000000003,9.005910873413086,✓,✗,0.3577897475563354,30.620290756225586,8.687344339031025,0.30307692289352417,8192.0,0.11167586594820023,0.11032766103744507,0.11479862928390502,0.2891429494949499,0.29710000000000003,0.29610000000000003,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan0.1-bec-outage0.1-frob-kl1.0_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,5.0,bec,outage 0.1,frob,channel_grad,0.001,1.0,1.0,0.08566247671842575,0.29567780000000005,0.08567532300949096,9.72484016418457,✓,✓,0.1311556186152527,0.29379999999999995,9.501914978027344,✓,✗,0.35408114113760725,789.4349365234375,5.8215658119714275,0.20309799909591675,8192.0,0.08478733152151108,0.08567532300949096,0.08720003962516784,0.28562311111111155,0.29379999999999995,0.29369999999999996,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-bec-outage0.1-frob-kl1.0_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
