Model,Dataset,Epochs,Channel Type,Channel Param,Norm Type,Objective,Learning Rate,KL Penalty,Chan Penalty,Pop Loss CE (MC),Pop Err 01 (MC),Risk CE (LHS),Bound CE (RHS),Valid CE,Eff CE,Emp Loss CE,Risk 01 (LHS),Bound 01 (RHS),Valid 01,Eff 01,Emp Err 01,KL Term,Channel Term,Lipschitz,Dimension,Train Loss CE,Pop Loss CE,Pop Loss CE (Wired),Train Err 01,Pop Err 01,Pop Err 01 (Wired),Folder,File
cnn-9,cifar10,10.0,rayleigh_zf,-10.0 dB,frob,vanilla,0.001,1.0,0.0,0.2487451136112213,0.7884086000000001,0.25033841133117674,3.688813165704343,✓,-,0.11492850673264048,0.7877000000000001,3.4751315104809506,✓,-,0.32861016195603243,747.1753540039062,0.0,0.0,8192.0,0.07139575481414795,0.25033841133117674,0.07787420153617859,0.26157737373737394,0.7877000000000001,0.27380000000000004,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-vanilla_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.001,1.0,0.27715757489204407,0.8761227999999998,0.27694239616394045,60.47541046142578,✓,✗,0.11112411699817021,0.8742,60.261409759521484,✓,✗,0.32512480451757997,13338.171875,0.48143502525927234,0.09692098200321198,8192.0,0.06829733401536942,0.27694239616394045,0.07121557593345643,0.25830416161616165,0.8742,0.27149999999999996,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.001_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.005,1.0,0.2720032036304474,0.8671344000000001,0.27139227390289306,36.423038482666016,✓,✗,0.10899411837842876,0.8648,36.20855712890625,✓,✗,0.32347380255801383,7955.6640625,0.5020161885237242,0.10106431692838669,8192.0,0.06657043844461441,0.27139227390289306,0.06970388293266297,0.2567514343434346,0.8648,0.2712,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.005_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.01,1.0,0.2713569104671478,0.8592028,0.27111871242523194,23.15616226196289,✓,✗,0.10921990389946913,0.8572,22.93861198425293,✓,✗,0.3267707560368295,4982.21728515625,0.5295045685493885,0.10659819096326828,8192.0,0.06675289571285248,0.27111871242523194,0.07000800967216492,0.2598462222222225,0.8572,0.27480000000000004,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.01_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.05,1.0,0.2698138654232025,0.8316754000000001,0.26911559104919436,6.764185905456543,✓,✗,0.1158409065281501,0.8322,6.537300109863281,✓,✗,0.34272633032585564,1271.662353515625,0.7156790692480457,0.14407825469970703,8192.0,0.07214135676622391,0.26911559104919436,0.07468619346618652,0.27487595959595995,0.8322,0.28690000000000004,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.05_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.1,1.0,0.2644345760345459,0.8138132000000001,0.26336376667022704,4.31887674331665,✓,✗,0.12220523703165072,0.8124,4.093014717102051,✓,✗,0.3480675911801434,694.1236572265625,0.8478603300573443,0.17068856954574585,8192.0,0.07736684381961823,0.26336376667022704,0.0800764799118042,0.2799261414141419,0.8124,0.2932,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.1_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,1.0,1.0,0.24283459782600403,0.7395765999999999,0.24061901569366456,2.1246020793914795,✓,✓,0.15603839568442113,0.7335,1.92606520652771,✓,✓,0.35457520974881945,77.29598999023438,1.405615409608707,0.2829740643501282,8192.0,0.10579875856637955,0.24061901569366456,0.10895624160766601,0.28609123232323286,0.7335,0.29290000000000005,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl1.0_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,20.0,rayleigh_zf,-10.0 dB,frob,vanilla,0.001,1.0,0.0,0.2532332241535187,0.7936750000000001,0.2545295476913452,6.279410249044873,✓,-,0.10786570973001534,0.7907,6.074686073526355,✓,-,0.31258988524853426,1330.03271484375,0.0,0.0,8192.0,0.06565714627504349,0.2545295476913452,0.07430034279823303,0.24656864646464627,0.7907,0.2629,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch20_bs250_lr0.001_mon0.95_dp0.2_objective-vanilla_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,20.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.001,1.0,0.2908150255680084,0.8777848000000001,0.2884181022644043,106.65342712402344,✓,✗,0.10826669400419929,0.8758,106.4456558227539,✓,✗,0.31603834617425275,23664.31640625,0.48861052189458126,0.09836553037166595,8192.0,0.06598194688558578,0.2884181022644043,0.07016867399215698,0.2497899797979798,0.8758,0.26949999999999996,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch20_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.001_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,20.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.005,1.0,0.2814543545246124,0.8698540000000001,0.28008742332458497,52.22073745727539,✓,✗,0.10743636483173945,0.871,52.008270263671875,✓,✗,0.3199041945042792,11481.7890625,0.5339812784584075,0.10749942809343338,8192.0,0.06531018018722534,0.28008742332458497,0.06952097415924072,0.253405494949495,0.871,0.27290000000000003,cnn-9_cifar10_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch20_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.005_perc-pri0.5_epoch-pri70_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
