Model,Dataset,Epochs,Channel Type,Channel Param,Norm Type,Objective,Learning Rate,KL Penalty,Chan Penalty,Pop Loss CE (MC),Pop Err 01 (MC),Risk CE (LHS),Bound CE (RHS),Valid CE,Eff CE,Emp Loss CE,Risk 01 (LHS),Bound 01 (RHS),Valid 01,Eff 01,Emp Err 01,KL Term,Channel Term,Lipschitz,Dimension,Train Loss CE,Pop Loss CE,Pop Loss CE (Wired),Train Err 01,Pop Err 01,Pop Err 01 (Wired),Folder,File
fcn-4,mnist,5.0,bec,outage 0.1,frob,channel_grad,0.001,0.01,0.01,0.009175646118819714,0.0278342,0.009275079518556596,0.5953929424285889,✓,?,0.03138488312090579,0.028200000000000003,0.5692546367645264,✓,?,0.057523153915700745,7.957000255584717,0.4882843975746255,0.06315317004919052,600.0,0.009649517014622688,0.009275079518556596,0.009462914615869521,0.02699279999999998,0.028200000000000003,0.027000000000000024,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan0.01-bec-outage0.1-frob-kl0.01_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,5.0,bec,outage 0.1,frob,channel_grad,0.001,0.01,0.1,0.008446832187473774,0.026863799999999997,0.008509611338376999,0.8481180667877197,✓,?,0.029484999324901045,0.02729999999999999,0.8228672742843628,✓,?,0.05473574485740991,82.97203063964844,0.4375493716449909,0.05659126117825508,600.0,0.008532608859241009,0.008509611338376999,0.008646158874034882,0.025013600000000018,0.02729999999999999,0.026699999999999946,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan0.1-bec-outage0.1-frob-kl0.01_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,5.0,bec,outage 0.1,frob,channel_grad,0.001,0.01,1.0,0.007211396005004644,0.025256999999999998,0.0073253907263278965,7.901753902435303,✓,?,0.025256775070897953,0.025399999999999978,7.8789286613464355,✓,?,0.04808186402038207,1844.3602294921875,0.3070021380782419,0.03970669209957123,600.0,0.006155926734209061,0.0073253907263278965,0.006962790340185166,0.02039280000000001,0.025399999999999978,0.025699999999999945,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-bec-outage0.1-frob-kl0.01_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,5.0,bec,outage 0.1,frob,channel_grad,0.001,0.1,0.01,0.00975568126887083,0.0289108,0.009918299317359925,0.599403977394104,✓,?,0.03256702245426428,0.03059999999999996,0.5726078748703003,✓,?,0.05936312933045941,0.4610234498977661,0.5210577250135006,0.06739196926355362,600.0,0.010357843711972237,0.009918299317359925,0.010056194663047791,0.02831166666666665,0.03059999999999996,0.028200000000000003,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan0.01-bec-outage0.1-frob-kl0.1_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,5.0,bec,outage 0.1,frob,channel_grad,0.001,0.1,0.1,0.009397338144481182,0.028260000000000004,0.009513043612241746,0.6025547981262207,✓,?,0.03183603158759128,0.028900000000000037,0.5762984752655029,✓,?,0.05809236631815367,7.160031318664551,0.4981307051396163,0.06442666053771973,600.0,0.009918673895299435,0.009513043612241746,0.00969524383544922,0.027399466666666674,0.028900000000000037,0.027800000000000047,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan0.1-bec-outage0.1-frob-kl0.1_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,5.0,bec,outage 0.1,frob,channel_grad,0.001,0.1,1.0,0.008827957324683666,0.028096999999999987,0.0089483842253685,1.6976079940795898,✓,?,0.030507498269707292,0.028800000000000048,1.671410083770752,✓,?,0.056705446018286115,285.5507507324219,0.4580455330334138,0.05924217030405998,600.0,0.009130217134952545,0.0089483842253685,0.008917776495218277,0.026409333333333333,0.028800000000000048,0.027699999999999947,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-bec-outage0.1-frob-kl0.1_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,5.0,bec,outage 0.1,frob,channel_grad,0.001,1.0,0.01,0.009945118799805641,0.029327000000000002,0.010133642703294754,0.6081854104995728,✓,?,0.032933110947040795,0.031200000000000006,0.5811020135879517,✓,?,0.06001651584608818,0.019007056951522827,0.530990326384151,0.06867662072181702,600.0,0.010579344816505909,0.010133642703294754,0.010247039049863816,0.02878186666666668,0.031200000000000006,0.028900000000000037,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan0.01-bec-outage0.1-frob-kl1.0_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,5.0,bec,outage 0.1,frob,channel_grad,0.001,1.0,0.1,0.00988531019538641,0.029189400000000008,0.010079893469810485,0.6080366373062134,✓,?,0.0328344705085398,0.031100000000000017,0.581062376499176,✓,?,0.05980873396908558,0.6558383703231812,0.5284494404161731,0.0683479905128479,600.0,0.01051945611834526,0.010079893469810485,0.010186804831027985,0.028632266666666666,0.031100000000000017,0.02849999999999997,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan0.1-bec-outage0.1-frob-kl1.0_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,5.0,bec,outage 0.1,frob,channel_grad,0.001,1.0,1.0,0.009659952484071255,0.028882800000000004,0.009887142479419709,0.7583961486816406,✓,?,0.03257514914158925,0.029900000000000038,0.7316396236419678,✓,?,0.0593316618984383,41.09455490112305,0.5141956392832138,0.06650444865226746,600.0,0.01036277785897255,0.009887142479419709,0.009885860234498977,0.028288733333333354,0.029900000000000038,0.02839999999999998,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-bec-outage0.1-frob-kl1.0_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,10.0,bec,outage 0.1,frob,vanilla,0.001,1.0,0.0,0.00872083567082882,0.027061799999999993,0.008582884818315506,0.24101692085378296,✓,-,0.03030767630663866,0.02629999999999999,0.21520004386033664,✓,-,0.05612455330008498,24.68744468688965,0.06700526789924707,0.008666250854730606,600.0,0.009012921713292599,0.008582884818315506,0.009729553759098054,0.025996733333333355,0.02629999999999999,0.028100000000000014,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-vanilla_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
