Model,Dataset,Epochs,Channel Type,Channel Param,Norm Type,Objective,Learning Rate,KL Penalty,Chan Penalty,Pop Loss CE (MC),Pop Err 01 (MC),Risk CE (LHS),Bound CE (RHS),Valid CE,Eff CE,Emp Loss CE,Risk 01 (LHS),Bound 01 (RHS),Valid 01,Eff 01,Emp Err 01,KL Term,Channel Term,Lipschitz,Dimension,Train Loss CE,Pop Loss CE,Pop Loss CE (Wired),Train Err 01,Pop Err 01,Pop Err 01 (Wired),Folder,File
fcn-4,mnist,10.0,rayleigh_zf,-10.0 dB,frob,vanilla,0.001,1.0,0.0,0.2596249580383301,0.34721099999999994,0.25851571559906006,0.34019654064915317,✓,-,0.028980200677595675,0.347,0.31468781091158404,✗,-,0.05448893041516479,65.79490661621094,0.0,0.0,600.0,0.00824059545993805,0.25851571559906006,0.008410690724849701,0.024839599999999993,0.347,0.026000000000000023,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-vanilla_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.001,1.0,0.2829066514968872,0.40354020000000007,0.28007755279541013,16.24921417236328,✓,✗,0.023205204670179586,0.4021,16.22991371154785,✓,✗,0.04250532512835786,3927.1220703125,0.15719970065322741,0.03164694830775261,600.0,0.0050662970170378685,0.28007755279541013,0.006464924663305283,0.016650066666666657,0.4021,0.02200000000000002,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.001_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.005,1.0,0.27722886204719543,0.38881860000000007,0.2740898609161377,9.172469139099121,✓,✗,0.024249243161524103,0.38759999999999994,9.151196479797363,✓,✗,0.045522336036376565,2187.663818359375,0.17874519479633838,0.03598441928625107,600.0,0.005615003407001495,0.2740898609161377,0.006830620765686035,0.01865860000000002,0.38759999999999994,0.02300000000000002,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.005_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.01,1.0,0.2731684446334839,0.37815000000000004,0.2697272777557373,5.458609580993652,✓,✗,0.025442427743451772,0.376,5.435773849487305,✓,✗,0.04827813832425665,1272.056396484375,0.2000825120472168,0.04027998074889183,600.0,0.006256802938878536,0.2697272777557373,0.007249435037374496,0.02052653333333335,0.376,0.0242,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.01_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.05,1.0,0.2588517665863037,0.3482558000000001,0.2552345275878906,1.4487179517745972,✓,✓,0.029612215222167563,0.3429,1.4230046272277832,✓,✗,0.05532552937877981,270.3393249511719,0.2726358599127834,0.054886192083358765,600.0,0.00860655028373003,0.2552345275878906,0.008664642274379731,0.025430199999999972,0.3429,0.026800000000000046,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.05_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.1,1.0,0.25547000765800476,0.3413194,0.25174336433410643,0.9587316513061523,✓,✓,0.031237168593637014,0.3366,0.9320970773696899,✓,✓,0.05787182439250778,142.46739196777344,0.3021381709508241,0.06082550436258316,600.0,0.009561744518578053,0.25174336433410643,0.009395226836204529,0.02724166666666665,0.3366,0.02729999999999999,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.1_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.5,1.0,0.25297850370407104,0.3355106,0.249635910987854,0.5372717976570129,✓,✓,0.0327297095401233,0.3337,0.5102288722991943,✓,✓,0.059772645314473266,32.41485595703125,0.32806502073400523,0.06604501605033875,600.0,0.0104562072083354,0.249635910987854,0.009982606023550033,0.028606466666666715,0.3337,0.027900000000000036,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.5_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,10.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,1.0,1.0,0.25352463126182556,0.3357553999999999,0.24997355937957763,0.4786679446697235,✓,✓,0.03301986705901851,0.33220000000000005,0.4514543414115906,✓,✓,0.06023348556075486,16.598188400268555,0.333571623364277,0.06715358793735504,600.0,0.010631905868649483,0.24997355937957763,0.010177657753229142,0.028939066666666673,0.33220000000000005,0.028100000000000014,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl1.0_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,20.0,rayleigh_zf,-10.0 dB,frob,vanilla,0.001,1.0,0.0,0.2659749686717987,0.3573751999999999,0.2650072336196899,0.7595877338627146,✓,-,0.027254167327276684,0.3577,0.7347843112243024,✓,-,0.052057589965688836,169.11990356445312,0.0,0.0,600.0,0.00725852744653821,0.2650072336196899,0.0078028224408626555,0.023135266666666682,0.3577,0.024900000000000033,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch20_bs250_lr0.001_mon0.95_dp0.2_objective-vanilla_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,20.0,rayleigh_zf,-10.0 dB,frob,channel_grad,0.001,0.001,1.0,0.26850610971450806,0.3934046000000001,0.2673011064529419,27.302143096923828,✓,✗,0.021780729805550347,0.3941,27.285940170288086,✓,✗,0.037983642411378526,6639.58056640625,0.14108479219165124,0.028402745723724365,600.0,0.00433857087045908,0.2673011064529419,0.0062425252050161365,0.01371946666666666,0.3941,0.02210000000000001,fcn-4_mnist_learnt_gaussian_sig0.03_bounded-pmin1e-05_epoch20_bs250_lr0.001_mon0.95_dp0.2_objective-channel_gradient-chan1.0-rayleigh-zf-tx1.0-noise10.0-frob-kl0.001_perc-pri0.5_epoch-pri20_bs-pri250_lr-pri0.005_mom-pri0.99_dp-pri0.2_seed7,rayleigh-zf-tx1.0-noise10.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
