Model,Dataset,Epochs,Channel Type,Channel Param,Norm Type,Objective,KL Penalty,Chan Penalty,Pop Loss CE (MC),Pop Err 01 (MC),Risk CE (LHS),Bound CE (RHS),Valid CE,Eff CE,Emp Loss CE,Risk 01 (LHS),Bound 01 (RHS),Valid 01,Eff 01,Emp Err 01,KL Term,Channel Term,Lipschitz,Dimension,Train Loss CE,Pop Loss CE,Pop Loss CE (Wired),Train Err 01,Pop Err 01,Pop Err 01 (Wired),Folder,File
cnn-4,mnist,10.0,bec,outage 0.1,frob,vanilla,1.0,0.0,0.049061812460422516,0.1788616,0.049273240566253665,10.827030455869128,✓,-,0.08680293317263732,0.17920000000000003,10.67433849826493,✓,-,0.23949489077683483,2556.71875,0.13267394748723166,0.004370036069303751,9216.0,0.04893307760357857,0.049273240566253665,0.046815219521522525,0.17934952301255228,0.17920000000000003,0.16959999999999997,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-vanilla_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,bec,outage 0.1,frob,channel_grad,0.0001,0.0001,0.04880217835307121,0.17761800000000003,0.04860101938247681,19.82898712158203,✓,✓,0.0865709670189892,0.17510000000000003,19.676727294921875,✓,✓,0.2388334656146961,2557.012939453125,9.134092536713426,0.3008602261543274,9216.0,0.04875290393829346,0.04860101938247681,0.046212422847747806,0.1787507280334729,0.17510000000000003,0.1703,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-bec-outage0.1-frob-kl0.0001_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,bec,outage 0.1,frob,channel_grad,0.0001,0.001,0.04867231473326683,0.1725562,0.0485127180814743,18.74626922607422,✓,✓,0.08607439186935176,0.17079999999999995,18.597537994384766,✓,✓,0.23480698268980774,2717.564208984375,7.399952116757378,0.24374082684516907,9216.0,0.04836619645357132,0.0485127180814743,0.04579465091228485,0.17511598326359837,0.17079999999999995,0.16469999999999996,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-bec-outage0.1-frob-kl0.0001_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,bec,outage 0.1,frob,channel_grad,0.0001,0.01,0.1979813277721405,0.8240744000000002,0.19789180755615235,4.1482930183410645,✓,✗,0.26071850936396634,0.8226,3.5344133377075195,✓,✗,0.8745980434690972,548.1947021484375,1.0185984548866023,0.03355076164007187,9216.0,0.1986362338066101,0.19789180755615235,0.19771336317062377,0.8238901422594127,0.8226,0.8167,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.01-bec-outage0.1-frob-kl0.0001_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,bec,outage 0.1,frob,channel_grad,0.001,0.0001,0.051587749272584915,0.18812740000000003,0.051355397701263426,19.453174591064453,✓,✗,0.08973856739148692,0.18700000000000006,19.29328155517578,✓,✗,0.24963266689138167,2290.300048828125,9.83633015318066,0.3239906430244446,9216.0,0.051225267350673676,0.051355397701263426,0.04868997931480408,0.18853539748953968,0.18700000000000006,0.18089999999999995,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-bec-outage0.1-frob-kl0.001_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,bec,outage 0.1,frob,channel_grad,0.001,0.001,0.05140891671180725,0.18235639999999995,0.051225459575653075,18.171375274658203,✓,✗,0.08919928016655515,0.18000000000000005,18.015714645385742,✓,✗,0.244859359050961,2435.387939453125,7.966985141628489,0.26241785287857056,9216.0,0.0508028045296669,0.051225459575653075,0.04822822213172913,0.1842046861924686,0.18000000000000005,0.1745,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-bec-outage0.1-frob-kl0.001_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,bec,outage 0.1,frob,channel_grad,0.001,0.01,0.19771398603916168,0.8243360000000001,0.1976175308227539,3.962916135787964,✓,✗,0.26039937387610157,0.8228,3.3482837677001953,✓,✗,0.8750317614130838,469.5972595214844,1.1536607672901307,0.0379994660615921,9216.0,0.19834333658218384,0.1976175308227539,0.19740231037139894,0.8243938744769858,0.8228,0.8224,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.01-bec-outage0.1-frob-kl0.001_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,bec,outage 0.1,frob,channel_grad,0.01,0.0001,0.07968965172767639,0.2926428,0.07928853034973145,19.689037322998047,✓,✗,0.12200203396339553,0.2932,19.45508575439453,✓,✗,0.3559533343230895,1114.4464111328125,14.76627567547892,0.48637399077415466,9216.0,0.07719951122999191,0.07928853034973145,0.07458059191703796,0.2873990962343099,0.2932,0.2823,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-bec-outage0.1-frob-kl0.01_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,bec,outage 0.1,frob,channel_grad,0.01,0.001,0.08008966594934464,0.2840202,0.0797788679599762,17.174854278564453,✓,✗,0.1221646884282931,0.28690000000000004,16.948379516601562,✓,✗,0.34863862310545857,1156.1756591796875,12.089047240873555,0.39819100499153137,9216.0,0.0773334726691246,0.0797788679599762,0.07471571564674377,0.280465907949791,0.28690000000000004,0.27559999999999996,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-bec-outage0.1-frob-kl0.01_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,bec,outage 0.1,frob,channel_grad,0.01,0.01,0.19695095717906952,0.8417724,0.19680846929550172,3.7186484336853027,✓,✗,0.25948037774660637,0.8394,3.0873775482177734,✓,✗,0.8907512539002322,181.00448608398438,2.071848339842283,0.0682428777217865,9216.0,0.19750650227069855,0.19680846929550172,0.19645487070083617,0.8427332552301238,0.8394,0.8402000000000001,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.01-bec-outage0.1-frob-kl0.01_seed7,bec-outage0.1_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
