Model,Dataset,Epochs,Channel Type,Channel Param,Norm Type,Objective,KL Penalty,Chan Penalty,Pop Loss CE (MC),Pop Err 01 (MC),Risk CE (LHS),Bound CE (RHS),Valid CE,Eff CE,Emp Loss CE,Risk 01 (LHS),Bound 01 (RHS),Valid 01,Eff 01,Emp Err 01,KL Term,Channel Term,Lipschitz,Dimension,Train Loss CE,Pop Loss CE,Pop Loss CE (Wired),Train Err 01,Pop Err 01,Pop Err 01 (Wired),Folder,File
cnn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,vanilla,1.0,0.0,0.12497718632221222,0.3373104,0.12507401704788207,10.718699470194093,✓,-,0.0868166589106249,0.3367,10.566019656329003,✓,-,0.2394964727757157,2556.71875,0.024341379813316084,0.015496203675866127,9216.0,0.048943594098091125,0.12507401704788207,0.04606810510158539,0.17935123012552295,0.3367,0.1674,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-vanilla_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.0001,0.0001,0.1228146106004715,0.33581439999999996,0.12449373006820678,11.084877014160156,✓,✓,0.08731769355947838,0.34130000000000005,10.929399490356445,✓,✓,0.2427969162208323,2527.888916015625,0.504916648536528,0.3214399218559265,9216.0,0.04933416098356247,0.12449373006820678,0.04727832078933716,0.1823371380753138,0.34130000000000005,0.17300000000000004,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.0001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.0001,0.001,0.12319321930408478,0.3368734,0.12488230466842651,11.121681213378906,✓,✓,0.08719092141785656,0.3435,10.966529846191406,✓,✓,0.24234157357317682,2538.993896484375,0.49683904688342495,0.3162975609302521,9216.0,0.04923516884446144,0.12488230466842651,0.04718105792999268,0.18192294560669448,0.3435,0.1725,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.0001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.0001,0.01,0.1267143338918686,0.34648340000000005,0.128410267829895,11.456588745117188,✓,✗,0.08649179459797213,0.35529999999999995,11.303804397583008,✓,✗,0.23927637635492108,2636.67919921875,0.43601325381642325,0.27757465839385986,9216.0,0.04869123920798302,0.128410267829895,0.04664259850978851,0.1791508953974895,0.35529999999999995,0.16769999999999996,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.01-rayleigh-zf-tx1.0-noise1.0-frob-kl0.0001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.001,0.0001,0.1260390728712082,0.3489557999999999,0.1276314973831177,10.065990447998047,✓,✗,0.09055424474236913,0.35719999999999996,9.90233325958252,✓,✗,0.25421112641744936,2265.658447265625,0.5451659487614392,0.34706342220306396,9216.0,0.05186387151479721,0.1276314973831177,0.04975173175334931,0.19270068619246858,0.35719999999999996,0.18179999999999996,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.001,0.001,0.12632937729358673,0.3497598,0.12792344093322755,10.098002433776855,✓,✗,0.09041781929417034,0.358,9.934751510620117,✓,✗,0.25366818252536816,2275.727783203125,0.5366133785697044,0.34161868691444397,9216.0,0.05175699666142464,0.12792344093322755,0.0496467113494873,0.19220635983263587,0.358,0.18089999999999995,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.001,0.01,0.1294592022895813,0.35841999999999996,0.13108475208282472,10.38593578338623,✓,✗,0.08964605414746385,0.36660000000000004,10.22553825378418,✓,✗,0.25004384649185396,2363.363525390625,0.47040006783382393,0.29946598410606384,9216.0,0.05115241929888725,0.13108475208282472,0.04905662834644318,0.18890979079497913,0.36660000000000004,0.17659999999999998,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.01-rayleigh-zf-tx1.0-noise1.0-frob-kl0.001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.01,0.0001,0.15822361409664154,0.4660294,0.15983556509017943,5.7419514656066895,✓,✗,0.12272248507829424,0.4738,5.501005172729492,✓,✗,0.36366868847891864,1112.5423583984375,0.8192474193891137,0.5215491056442261,9216.0,0.07779403775930405,0.15983556509017943,0.07542999386787415,0.29473308786610897,0.4738,0.28359999999999996,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.01_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.01,0.001,0.15835876762866974,0.46644519999999984,0.1599697470664978,5.739959239959717,✓,✗,0.12259365900022189,0.47409999999999997,5.499719142913818,✓,✗,0.36283344740079426,1115.207275390625,0.807210388992768,0.5138860940933228,9216.0,0.07768820226192474,0.1599697470664978,0.07532555460929871,0.2939387112970715,0.47409999999999997,0.28269999999999995,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.01_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
cnn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.01,0.01,0.15995942056179047,0.4715146000000002,0.16155697107315065,5.738437175750732,✓,✗,0.12196699945970703,0.47729999999999995,5.503570079803467,✓,✗,0.35683388206814215,1139.860107421875,0.7110429294263556,0.45266398787498474,9216.0,0.07717008888721466,0.16155697107315065,0.0748152494430542,0.28823517991631825,0.47729999999999995,0.27880000000000005,cnn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.01-rayleigh-zf-tx1.0-noise1.0-frob-kl0.01_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
