Model,Dataset,Epochs,Channel Type,Channel Param,Norm Type,Objective,KL Penalty,Chan Penalty,Pop Loss CE (MC),Pop Err 01 (MC),Risk CE (LHS),Bound CE (RHS),Valid CE,Eff CE,Emp Loss CE,Risk 01 (LHS),Bound 01 (RHS),Valid 01,Eff 01,Emp Err 01,KL Term,Channel Term,Lipschitz,Dimension,Train Loss CE,Pop Loss CE,Pop Loss CE (Wired),Train Err 01,Pop Err 01,Pop Err 01 (Wired),Folder,File
cnn-9,cifar10,5.0,bec,outage 0.1,frob,vanilla,1.0,0.0,0.20056608319282532,0.8990549999999999,0.20041320323944092,1.0679275376326705,✓,-,0.263922851957125,0.8939,0.3910333860951592,✗,-,0.9408170034946362,14.502819061279297,0.04351871714733184,0.0015182452043518424,8192.0,0.20156490802764893,0.20041320323944092,0.20068745613098143,0.9035265929648213,0.8939,0.9011,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.0_objective-vanilla_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,bec,outage 0.1,frob,vanilla,1.0,0.0,0.20025523006916046,0.8978361999999998,0.20010924339294434,1.1421233532113377,✓,-,0.263579727432797,0.8925,0.4659785127402832,✗,-,0.9397245679038516,31.337783813476562,0.04351871714733184,0.0015182452043518424,8192.0,0.20125220715999603,0.20010924339294434,0.200345778465271,0.9021546934673341,0.8925,0.8988,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-vanilla_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,bec,outage 0.1,frob,channel_grad,0.0001,0.0001,0.20023386180400848,0.8976656,0.2001826524734497,2.8542847633361816,✓,✓,0.26356446696307395,0.8967,2.178032875061035,✓,✓,0.9398166067724867,32.5933952331543,1.7499728889574697,0.061051614582538605,8192.0,0.2012389600276947,0.2001826524734497,0.20030789375305175,0.9022653668341679,0.8967,0.8991,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-bec-outage0.1-frob-kl0.0001_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,bec,outage 0.1,frob,channel_grad,0.0001,0.001,0.20010404288768768,0.8976845999999997,0.2000760555267334,2.578568458557129,✓,✓,0.26341979029852947,0.8938,1.9021157026290894,✓,✓,0.9398724194025198,59.526920318603516,1.3537501784097707,0.04722852259874344,8192.0,0.20110517740249634,0.2000760555267334,0.20015578269958495,0.9023366432160783,0.8938,0.8985,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-bec-outage0.1-frob-kl0.0001_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,bec,outage 0.1,frob,channel_grad,0.0001,0.01,0.20006516575813293,0.8990160000000001,0.20004379749298096,2.8496041297912598,✓,✓,0.26337966378834454,0.8972,2.1721975803375244,✓,✗,0.9407863075270176,288.85321044921875,0.598293828419818,0.020872782915830612,8192.0,0.20106826722621918,0.20004379749298096,0.2000739812850952,0.9034957587939676,0.8972,0.902,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.01-bec-outage0.1-frob-kl0.0001_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,bec,outage 0.1,frob,channel_grad,0.001,0.0001,0.20028690993785858,0.8978427999999999,0.20022878646850586,2.9019582271575928,✓,✗,0.2636231483204888,0.8972,2.2256152629852295,✓,✗,0.939966030926914,27.94467544555664,1.818286508710279,0.06343488395214081,8192.0,0.20129269361495972,0.20022878646850586,0.20036716461181642,0.902450010050249,0.8972,0.8998,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-bec-outage0.1-frob-kl0.001_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,bec,outage 0.1,frob,channel_grad,0.001,0.001,0.20014266669750214,0.8979046000000002,0.20011065006256104,2.6126649379730225,✓,✓,0.26346219687663197,0.8946000000000001,1.9360926151275635,✓,✗,0.9400345831656349,51.09148406982422,1.425409035675149,0.04972849786281586,8192.0,0.20114456117153168,0.20011065006256104,0.20020081996917724,0.9025420703517567,0.8946000000000001,0.8995,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-bec-outage0.1-frob-kl0.001_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,bec,outage 0.1,frob,channel_grad,0.001,0.01,0.200068399310112,0.8990892,0.2000476598739624,2.718289375305176,✓,✓,0.2633824940159737,0.8968,2.040836811065674,✓,✗,0.9408353272741788,248.1951446533203,0.6487585109983839,0.022633353248238564,8192.0,0.2010713368654251,0.2000476598739624,0.2000812530517578,0.9035564623115556,0.8968,0.9048,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.01-bec-outage0.1-frob-kl0.001_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,bec,outage 0.1,frob,channel_grad,0.01,0.0001,0.20070619881153107,0.8990630000000001,0.20061066150665283,3.2880313396453857,✓,✗,0.26408733487406555,0.8976999999999999,2.611203908920288,✓,✗,0.9409148086041439,8.880516052246094,2.288668462171796,0.07984518259763718,8192.0,0.20171689987182617,0.20061066150665283,0.2008136034011841,0.903647678391957,0.8976999999999999,0.904,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-bec-outage0.1-frob-kl0.01_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,bec,outage 0.1,frob,channel_grad,0.01,0.001,0.20050182938575745,0.8990526000000002,0.20043210983276366,2.978931427001953,✓,✗,0.26386307799075576,0.8976,2.30184268951416,✓,✗,0.9409518606637586,16.660621643066406,1.9447379389080017,0.06784641742706299,8192.0,0.2015099823474884,0.20043210983276366,0.2005976676940918,0.9037081005025103,0.8976,0.9025,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-bec-outage0.1-frob-kl0.01_seed7,bec-outage0.1_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
