Model,Dataset,Epochs,Channel Type,Channel Param,Norm Type,Objective,KL Penalty,Chan Penalty,Pop Loss CE (MC),Pop Err 01 (MC),Risk CE (LHS),Bound CE (RHS),Valid CE,Eff CE,Emp Loss CE,Risk 01 (LHS),Bound 01 (RHS),Valid 01,Eff 01,Emp Err 01,KL Term,Channel Term,Lipschitz,Dimension,Train Loss CE,Pop Loss CE,Pop Loss CE (Wired),Train Err 01,Pop Err 01,Pop Err 01 (Wired),Folder,File
cnn-9,cifar10,5.0,rayleigh_zf,0.0 dB,frob,vanilla,1.0,0.0,0.24660587310791016,0.8998198000000001,0.2464833974838257,1.0346568249368584,✓,-,0.2639148057428776,0.8958,0.3577917611851658,✗,-,0.9407798694945703,14.502819061279297,0.0102851384515858,0.00654772249981761,8192.0,0.20155948400497437,0.2464833974838257,0.20050358772277832,0.9034852663316564,0.8958,0.8966,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch5_bs250_lr0.001_mon0.95_dp0.0_objective-vanilla_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,rayleigh_zf,0.0 dB,frob,vanilla,1.0,0.0,0.2491745948791504,0.8998314000000002,0.2518424987792969,1.1088813296717437,✓,-,0.263579727432797,0.8966,0.4327449340445371,✗,-,0.9397161230600035,31.337783813476562,0.0102851384515858,0.00654772249981761,8192.0,0.20125220715999603,0.2518424987792969,0.20028533935546874,0.9021409849246207,0.8966,0.9013,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-vanilla_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.0001,0.0001,0.24917268753051758,0.8996475999999999,0.24884772300720215,1.1937838792800903,✓,✓,0.26359626546742554,0.9037,0.517521321773529,✗,✓,0.9398588810344093,30.267126083374023,0.09983314606268293,0.0635557547211647,8192.0,0.2012668401002884,0.24884772300720215,0.20027191638946534,0.902314653266329,0.9037,0.897,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.0001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.0001,0.001,0.24917355179786682,0.8996662,0.24884443283081054,1.197959542274475,✓,✓,0.263579383972781,0.9038,0.521671712398529,✗,✓,0.9398673456082554,31.625186920166016,0.09792690528867465,0.06234220415353775,8192.0,0.2012518346309662,0.24884443283081054,0.20025532245635985,0.9023284020100483,0.9038,0.8972,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.0001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.0001,0.01,0.2490367740392685,0.8997363999999998,0.24866929054260253,1.2480725049972534,✓,✓,0.26347237464573015,0.9023,0.5716665387153625,✗,✓,0.9398783842045568,46.02494430541992,0.08363108841623412,0.05324120447039604,8192.0,0.20115229487419128,0.24866929054260253,0.20015013217926025,0.9023463316582887,0.9023,0.9,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.01-rayleigh-zf-tx1.0-noise1.0-frob-kl0.0001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.001,0.0001,0.2484786957502365,0.8996368000000002,0.24818994998931884,1.17836594581604,✓,✓,0.263656264960457,0.9041,0.5019850134849548,✗,✓,0.9400371061860098,25.96275520324707,0.10348654404708765,0.06588158011436462,8192.0,0.20132200419902802,0.24818994998931884,0.2003312110900879,0.902546170854269,0.9041,0.8969,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.001,0.001,0.2484690248966217,0.8996424000000003,0.24818098545074463,1.1817271709442139,✓,✓,0.2636386282453148,0.9039,0.5053302645683289,✗,✓,0.94003544890792,27.146686553955078,0.10155474316839842,0.06465175747871399,8192.0,0.20130617916584015,0.24818098545074463,0.20031392574310303,0.902543477386932,0.9039,0.8969,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.001,0.01,0.2482818216085434,0.8996865999999998,0.24797098636627196,1.2226821184158325,✓,✓,0.2635212100649508,0.9036,0.5461364984512329,✗,✓,0.9400668578888478,39.442222595214844,0.08749100362005284,0.05569850280880928,8192.0,0.20119865238666534,0.24797098636627196,0.20019705295562745,0.9025751959798971,0.9036,0.899,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.01-rayleigh-zf-tx1.0-noise1.0-frob-kl0.001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.01,0.0001,0.24654363095760345,0.8996922,0.2463050127029419,1.1258411407470703,✓,✓,0.2641196763328274,0.9018,0.44891971349716187,✗,✓,0.9410410903203181,8.343927383422852,0.12875160740981687,0.08196581900119781,8192.0,0.20174537599086761,0.2463050127029419,0.2007746696472168,0.9038153165829125,0.9018,0.8979,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.01_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.01,0.001,0.2465074062347412,0.8997023999999999,0.24627060890197755,1.1260312795639038,✓,✓,0.26410062778436116,0.9017,0.4490891098976135,✗,✓,0.9410428152781146,8.723262786865234,0.127243608047019,0.08100579679012299,8192.0,0.20172801613807678,0.24627060890197755,0.20075700283050538,0.903818130653264,0.9017,0.8973,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.01_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.01,0.01,0.24615900218486786,0.8997240000000002,0.2459260940551758,1.1323165893554688,✓,✓,0.2639519574424922,0.9026,0.4552195072174072,✗,✓,0.9410490497684376,12.81218147277832,0.11523649139955806,0.0733618289232254,8192.0,0.20159317553043365,0.2459260940551758,0.20061261653900148,0.9038283015075358,0.9026,0.8971,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.01-rayleigh-zf-tx1.0-noise1.0-frob-kl0.01_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,20.0,rayleigh_zf,0.0 dB,frob,vanilla,1.0,0.0,0.2574186325073242,0.8997016,0.26016113758087156,1.2477940646300087,✓,-,0.2632211443320128,0.8996,0.5735727393886796,✗,-,0.9374424695733419,62.90802001953125,0.0102851384515858,0.00654772249981761,8192.0,0.20092278718948364,0.26016113758087156,0.19993062019348146,0.8992685427135657,0.8996,0.8968,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch20_bs250_lr0.001_mon0.95_dp0.0_objective-vanilla_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,20.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.0001,0.0001,0.2566845118999481,0.899791,0.25831725597381594,1.3179645538330078,✓,✓,0.2632279178679565,0.895,0.6435685753822327,✗,✗,0.9376239020947994,61.730621337890625,0.08553972252422008,0.054456278681755066,8192.0,0.2009301334619522,0.25831725597381594,0.19986178874969482,0.8995014271356767,0.895,0.8909,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch20_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.0001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,20.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.0001,0.001,0.2567714750766754,0.899807,0.25841100215911866,1.324939250946045,✓,✓,0.2632236998648435,0.8945,0.6505480408668518,✗,✗,0.9376149445360097,63.748626708984375,0.0834985421865802,0.05315682291984558,8192.0,0.2009255588054657,0.25841100215911866,0.19985979795455933,0.8994869949748726,0.8945,0.8915,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch20_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.0001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,20.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.0001,0.01,0.2567852735519409,0.8998521999999999,0.25839834213256835,1.4110435247421265,✓,✓,0.2632096463137459,0.8943,0.7364792227745056,✗,✗,0.937773843557447,86.3114013671875,0.06854005268259325,0.04363395273685455,8192.0,0.20091362297534943,0.25839834213256835,0.19985876083374024,0.8996838190954748,0.8943,0.8901,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch20_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.01-rayleigh-zf-tx1.0-noise1.0-frob-kl0.0001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,20.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.001,0.0001,0.2533496618270874,0.8998388000000003,0.25505242347717283,1.2548052072525024,✓,✓,0.26336063761850703,0.8953,0.5797462463378906,✗,✗,0.9384196115304797,45.922542572021484,0.09228053889485036,0.05874761566519737,8192.0,0.20105093717575073,0.25505242347717283,0.1999752163887024,0.9005095075376863,0.8953,0.8914,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch20_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,20.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.001,0.001,0.25340303778648376,0.8998591999999999,0.2551054716110229,1.259812355041504,✓,✓,0.26334964867986665,0.8958,0.5847434997558594,✗,✗,0.9384184669256195,47.467647552490234,0.09037884487023244,0.057536959648132324,8192.0,0.2010423243045807,0.2551054716110229,0.1999682903289795,0.9005076582914552,0.8958,0.8909,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch20_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,20.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.001,0.01,0.2534000873565674,0.8998268,0.25510120391845703,1.3217098712921143,✓,✓,0.26329990368943296,0.8947,0.6465024352073669,✗,✗,0.9385073768413847,64.54884338378906,0.0757980925176569,0.04825456440448761,8192.0,0.20099498331546783,0.25510120391845703,0.19993482828140258,0.9006121005025101,0.8947,0.8912,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch20_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.01-rayleigh-zf-tx1.0-noise1.0-frob-kl0.001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,20.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.01,0.0001,0.24645546078681946,0.8998672000000001,0.24810872077941895,1.12621009349823,✓,✓,0.264102605893046,0.8975,0.4493880271911621,✗,✗,0.9409246694317195,8.522513389587402,0.12843836739068418,0.08176640421152115,8192.0,0.2017301619052887,0.24810872077941895,0.20059521198272706,0.9036637587939674,0.8975,0.8976,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch20_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.01_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,20.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.01,0.001,0.24642089009284973,0.8998854,0.24807407855987548,1.1263881921768188,✓,✓,0.2640838182218517,0.8973,0.44955864548683167,✗,✗,0.940913329480008,8.900747299194336,0.12693623140354804,0.08081011474132538,8192.0,0.20171308517456055,0.24807407855987548,0.20057971477508546,0.9036452663316562,0.8973,0.8975,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch20_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.01_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,20.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.01,0.01,0.2461117058992386,0.8999161999999998,0.24777348041534425,1.1324983835220337,✓,✓,0.26394041809317614,0.8979,0.45551973581314087,✗,✗,0.9409190980641398,12.944674491882324,0.11495571645844048,0.0731830820441246,8192.0,0.20158065855503082,0.24777348041534425,0.20046558380126953,0.9036546733668324,0.8979,0.8971,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch20_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.01-rayleigh-zf-tx1.0-noise1.0-frob-kl0.01_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,30.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.0001,0.0001,0.26825976371765137,0.8997115999999998,0.2669095039367676,1.4732110500335693,✓,?,0.2628961928162402,0.899,0.8009737730026245,✗,?,0.9351335452721583,97.67554473876953,0.08252600009915571,0.05253768339753151,8192.0,0.20062658190727234,0.2669095039367676,0.19952051639556884,0.8963856884422093,0.899,0.8867,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch30_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.0001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,30.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.0001,0.001,0.2683817446231842,0.8997533999999999,0.26703081130981443,1.4780802726745605,✓,?,0.2629095611741521,0.8986,0.8058122992515564,✗,?,0.9351776968699783,99.29292297363281,0.08011800183064807,0.05100470408797264,8192.0,0.20063777267932892,0.26703081130981443,0.19953703880310059,0.8964360201004998,0.8986,0.8871,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch30_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.0001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,30.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.0001,0.01,0.26778391003608704,0.8998261999999999,0.26648244857788084,1.5627743005752563,✓,?,0.2630243668291663,0.8996999999999999,0.890119731426239,✗,?,0.9356788746901223,121.94440460205078,0.06301016967791254,0.04011351987719536,8192.0,0.2007424384355545,0.26648244857788084,0.1996694803237915,0.8970560402010027,0.8996999999999999,0.8875,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch30_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.01-rayleigh-zf-tx1.0-noise1.0-frob-kl0.0001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,30.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.001,0.0001,0.25989124178886414,0.8997465999999998,0.25848116874694826,1.3311980962753296,✓,?,0.2631437842157637,0.8998,0.6574484705924988,✗,?,0.9368934472646544,63.739437103271484,0.09052003401989867,0.05762684345245361,8192.0,0.20085211098194122,0.25848116874694826,0.1997371196746826,0.8985838391959782,0.8998,0.8895,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch30_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,30.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.001,0.001,0.2599667012691498,0.8997616000000002,0.2585490942001343,1.3348772525787354,✓,?,0.2631432208900647,0.9,0.6611052751541138,✗,?,0.9369152355149881,65.02713012695312,0.08841863412244383,0.05628905072808266,8192.0,0.20085150003433228,0.2585490942001343,0.19974087476730346,0.8986188542713551,0.9,0.8901,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch30_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,30.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.001,0.01,0.2597508430480957,0.8997851999999998,0.2583350419998169,1.3928773403167725,✓,?,0.26315569649334936,0.9024,0.7188198566436768,✗,?,0.9372131618850464,81.47428131103516,0.07256687513591173,0.04619750753045082,8192.0,0.2008650302886963,0.2583350419998169,0.19977885484695435,0.8989787336683396,0.9024,0.8905,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch30_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.01-rayleigh-zf-tx1.0-noise1.0-frob-kl0.001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
cnn-9,cifar10,30.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.01,0.0001,0.2468680590391159,0.8998495999999999,0.24529798030853273,1.1277127265930176,✓,?,0.2640848072802868,0.901,0.45097658038139343,✗,?,0.9408209493960187,8.787344932556152,0.128860331481468,0.08203503489494324,8192.0,0.2017141580581665,0.24529798030853273,0.20055203437805175,0.9035330251256266,0.901,0.9,cnn-9_cifar10_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch30_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.01_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer4_mcsamples500_norm-frob_seed7_bounds.json
