Model,Dataset,Epochs,Channel Type,Channel Param,Norm Type,Objective,KL Penalty,Chan Penalty,Pop Loss CE (MC),Pop Err 01 (MC),Risk CE (LHS),Bound CE (RHS),Valid CE,Eff CE,Emp Loss CE,Risk 01 (LHS),Bound 01 (RHS),Valid 01,Eff 01,Emp Err 01,KL Term,Channel Term,Lipschitz,Dimension,Train Loss CE,Pop Loss CE,Pop Loss CE (Wired),Train Err 01,Pop Err 01,Pop Err 01 (Wired),Folder,File
fcn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,vanilla,1.0,0.0,0.11509790271520615,0.3724408,0.1186290979385376,13.210664221766855,✓,-,0.10598586688452173,0.3769,13.001547470040652,✓,-,0.31510261861072486,3148.27978515625,0.025662172475346284,0.016337046399712563,600.0,0.06414077430963516,0.1186290979385376,0.062022483348846434,0.2489144666666665,0.3769,0.24109999999999998,fcn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-vanilla_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.0001,0.0001,0.11495553702116013,0.3730206,0.11635731458663941,13.478997230529785,✓,✓,0.10669280918490841,0.3752,13.26905632019043,✓,✗,0.3166339439780508,3098.582275390625,0.4953538456359744,0.31535205245018005,600.0,0.06471087038516998,0.11635731458663941,0.06289067268371581,0.25034916666666684,0.3752,0.23950000000000005,fcn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.0001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.0001,0.001,0.11498893797397614,0.3732488,0.11638929843902587,13.482442855834961,✓,✓,0.10669727589033508,0.37549999999999994,13.272599220275879,✓,✗,0.31654164679164554,3100.654296875,0.490432355150427,0.31221893429756165,600.0,0.06471367925405502,0.11638929843902587,0.06288828253746033,0.2502604666666665,0.37549999999999994,0.23929999999999996,fcn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.0001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.0001,0.01,0.11544761806726456,0.3759298,0.11683697700500488,13.521897315979004,✓,✗,0.10696036225689438,0.37629999999999997,13.312443733215332,✓,✗,0.31641336046924484,3120.460205078125,0.44915816962921506,0.2859429717063904,600.0,0.06492564082145691,0.11683697700500488,0.06308168768882752,0.2501385666666665,0.37629999999999997,0.2389,fcn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.01-rayleigh-zf-tx1.0-noise1.0-frob-kl0.0001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.001,0.0001,0.11955799162387848,0.39133699999999993,0.12095649242401123,12.099258422851562,✓,✗,0.11156803251431016,0.39490000000000003,11.878440856933594,✓,✗,0.33238682763824723,2752.971435546875,0.5108122786160424,0.3251931965351105,600.0,0.06865836679935455,0.12095649242401123,0.06680808663368225,0.2651268,0.39490000000000003,0.25260000000000005,fcn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.001,0.001,0.11958795040845871,0.3915619999999999,0.1209885835647583,12.100401878356934,✓,✗,0.11158115170209391,0.39490000000000003,11.879697799682617,✓,✗,0.33228521468557204,2754.498046875,0.5058244535731087,0.3220178484916687,600.0,0.06866839528083801,0.1209885835647583,0.06681490540504456,0.2650334666666666,0.39490000000000003,0.25249999999999995,fcn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.001,0.01,0.12000352144241333,0.3940368,0.12140339612960815,12.122747421264648,✓,✗,0.11190121879682703,0.39780000000000004,11.90260124206543,✓,✗,0.3320469667867121,2770.218994140625,0.46422720892661606,0.29553622007369995,600.0,0.06892945617437363,0.12140339612960815,0.06706353425979614,0.2648082666666667,0.39780000000000004,0.2528,fcn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.01-rayleigh-zf-tx1.0-noise1.0-frob-kl0.001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.01,0.0001,0.16597235202789307,0.5650464,0.16752043962478638,5.432285785675049,✓,✗,0.1647035092122956,0.5688,5.098149299621582,✓,✗,0.4988400288401835,1062.83349609375,0.5773455587942201,0.3675495982170105,600.0,0.11323243379592896,0.16752043962478638,0.11158123016357421,0.42619006666666703,0.5688,0.42169999999999996,fcn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.01_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.01,0.001,0.16603563725948334,0.5653518,0.16758195161819459,5.422946453094482,✓,✗,0.16480724916568185,0.5689,5.088842391967773,✓,✗,0.49891137635554217,1061.524169921875,0.5732798636816994,0.36496129631996155,600.0,0.11332102119922638,0.16758195161819459,0.11167157888412475,0.4262617333333333,0.5689,0.42200000000000004,fcn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.01_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,10.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.01,0.01,0.16670100390911102,0.5682850000000002,0.16823842525482177,5.343943119049072,✓,✗,0.1658625178867556,0.5716,5.009881496429443,✓,✗,0.4999240560943894,1050.458251953125,0.5384402238537147,0.3427816927433014,600.0,0.11423148959875107,0.16823842525482177,0.11259654760360718,0.4272611333333337,0.5716,0.42279999999999995,fcn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch10_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.01-rayleigh-zf-tx1.0-noise1.0-frob-kl0.01_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,20.0,rayleigh_zf,0.0 dB,frob,vanilla,1.0,0.0,0.093974769115448,0.27706680000000006,0.0980923593044281,22.125259953077823,✓,-,0.07988700976848337,0.28490000000000004,21.98750969091583,✓,-,0.21763727193047622,5355.77490234375,0.025662172475346284,0.016337046399712563,600.0,0.04359126091003418,0.0980923593044281,0.04189818799495697,0.1597065,0.28490000000000004,0.15690000000000004,fcn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch20_bs250_lr0.001_mon0.95_dp0.0_objective-vanilla_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
fcn-4,mnist,20.0,rayleigh_zf,0.0 dB,frob,channel_grad,0.0001,0.0001,0.09218455851078033,0.27517559999999996,0.09357460737228393,21.879037857055664,✓,✓,0.08029432404561966,0.2792,21.740100860595703,✓,✓,0.2192320266670268,5210.6884765625,0.3701596336745284,0.2356509417295456,600.0,0.04390375316143036,0.09357460737228393,0.04212904274463654,0.16113063333333355,0.2792,0.15369999999999995,fcn-4_mnist_rand_gaussian_sig0.03_bounded-pmin1e-05_epoch20_bs250_lr0.001_mon0.95_dp0.0_objective-channel_gradient-chan0.0001-rayleigh-zf-tx1.0-noise1.0-frob-kl0.0001_seed7,rayleigh-zf-tx1.0-noise1.0_chan-layer2_mcsamples500_norm-frob_seed7_bounds.json
